companyCode,news_stress,entity_stress_fundamental
GDS17858,0.207,32.84
GDS17868,0.2942,42.67
GDS17888,0.4056,21.77
GDS17904,0.292,18.17
GDS17990,0.471,13.32
GDS18269,0.3245,9.81
GDS18395,0.3552,10.38
GDS1853,0.5644,14.12
GDS18620,0.449,8.88
GDS18674,0.3097,12.1
GDS18687,0.4129,15.43
GDS18705,0.2411,10.02
GDS1875,0.4651,9.83
GDS18790,0.6848,38.22
GDS18870,0.2657,34.65
GDS18892,0.5026,45.07
GDS18941,0.5,10.59
GDS19023,0.8091,24.96
GDS19027,0.2768,11.87
GDS19039,0.4207,10.64
GDS19280,0.502,18.78
GDS19295,0.5089,42.25
GDS19419,0.4702,22.11
GDS19421,0.4565,18.39
GDS19571,0.39,18.04
GDS19733,0.5101,60.0
GDS19976,0.4932,38.94
GDS1999,0.4251,60.0
GDS20034,0.2238,10.62
GDS20074,0.27,41.39
GDS20171,0.5942,87.11
GDS20271,0.3131,12.12
GDS20315,0.4338,13.34
GDS20422,0.3455,16.37
GDS20427,0.5098,60.0
GDS20468,0.217,24.83
GDS20690,0.4039,13.08
GDS20728,0.3674,7.87
GDS20828,0.4943,13.24
GDS20836,0.2633,16.35
GDS20838,0.4692,36.44
GDS20863,0.4199,17.41
GDS20947,0.3597,10.29
GDS21082,0.378,11.48
GDS2126,0.3746,10.1
GDS21541,0.3431,16.92
GDS21607,0.5712,33.19
GDS21746,0.469,38.43
GDS2192,0.4585,11.23
GDS2193,0.4395,60.0
GDS21930,0.4475,13.38
GDS21993,0.3495,11.77
GDS22092,0.3706,16.08
GDS22116,0.4607,5.91
GDS22134,0.4847,9.09
GDS22143,0.4886,34.48
GDS22157,0.3379,60.0
GDS22384,0.3459,33.43
GDS2246,0.4934,9.52
GDS22549,0.3923,10.83
GDS22573,0.5495,11.21
GDS22888,0.4546,11.34
GDS22949,0.3087,11.64
GDS22958,0.4891,13.06
GDS23055,0.5258,12.45
GDS23358,0.3939,60.0
GDS23384,0.4099,8.85
GDS23498,0.0412,12.09
GDS2353,0.2973,12.2
GDS23601,0.4005,35.94
GDS23747,0.4196,32.27
GDS24053,0.436,7.45
GDS2420,0.382,22.88
GDS2467,0.3463,10.37
GDS259,0.4518,13.55
GDS2628,0.3206,18.37
GDS2661,0.356,10.27
GDS2780,0.5595,10.02
GDS2784,0.4833,13.4
GDS2812,0.3865,13.58
GDS284,0.3155,11.74
GDS2897,0.4405,10.19
GDS2961,0.5954,17.24
GDS2989,0.5002,12.22
GDS3012,0.532,29.58
GDS3041,0.4852,11.01
GDS3108,0.6064,27.63
GDS32,0.3674,28.41
GDS3267,0.4969,17.02
GDS3294,0.4793,38.65
GDS3348,0.3177,14.46
GDS3479,0.3675,9.42
