companyCode,companyName,total_facilities,cumulative,cum_pct
KIRBROT,Kirloskar Brothers Limited,1700.0,2997971.71,79.20209497911333
AZPIPL,Azure Power India Private Limited,1680.0,2999651.71,79.24647815962203
HRSLEPL,Hero Solar Energy Private Limited,1670.5,3001322.21,79.29061036381238
GDS20947,Star Wire India Limited,1669.9999999999995,3002992.21,79.33472935872281
RAMFORG,Ramkrishna Forgings Limited,1650.0,3004642.21,79.37831998243671
TRUIOE,TruAlt Bioenergy Limited,1617.0,3006259.21,79.42103879367633
SDHF,Sundaram Home Finance Limited,1600.0,3007859.21,79.46330848939891
EGCNCO,Eagle Infra India Limited,1600.0,3009459.21,79.50557818512148
MUKAND,Mukand Limited,1585.0,3011044.21,79.54745160244666
GDS7432,Hindusthan Engineering and Industries Limited,1574.5,3012618.71,79.58904762489365
ASSPSPL,Associated Power Structures Limited,1570.0,3014188.71,79.63052476382143
SSPTPV,Adani Wind Energy MP One Private Limited,1562.18,3015750.89,79.67179530961135
ASTMICPL,Astra Microwave Products Limited,1536.5,3017287.39,79.71238742678494
ECIL,Electronics Corporation of India Limited,1527.65,3018815.04,79.75274573970405
NAHSPIN,Nahar Spinning Mills Limited,1508.4,3020323.44,79.7925954953465
BRTCDPL,Bhartiya Urban Private Limited,1504.0,3021827.44,79.83232900932573
ADBLBL,Aditya Birla Lifestyle Brands Limited,1500.0,3023327.44,79.87195684906564
RLECCSL,The Railway Employees Co-Operative Credit Society Limited,1500.0,3024827.44,79.91158468880555
MPMAPL,Matrix Pharmacorp Private Limited,1500.0,3026327.44,79.95121252854547
EPILTD,Engineering Projects India Limited,1500.0,3027827.44,79.99084036828538
GDS22888,Evonith Metallics Limited,1500.0,3029327.44,80.03046820802528
MOMIPL,Mohit Minerals Limited,1500.0,3030827.44,80.0700960477652
GVTRPL,GV Techparks Private Limited,1500.0,3032327.44,80.10972388750511
ACMESL,Acme Solar Holdings Limited,1500.0,3033827.44,80.14935172724502
TILPLM,Tianish Laboratories Private Limited-(Amalgamated),1500.0,3035327.44,80.18897956698494
FTLSL,Future Lifestyle Fashions Limited,1500.0,3036827.44,80.22860740672485
IOUTLI,IAV Utkarsh Limited,1500.0,3038327.44,80.26823524646476
BAACFL,Bajaj Auto Credit Limited,1500.0,3039827.44,80.30786308620468
APPDCL,Andhra Pradesh Power Development Company Limited,1500.0,3041327.44,80.34749092594458
LAXCON,LC Infra Projects Private Limited,1500.0,3042827.44,80.38711876568449
GDS6353,Global Health Limited,1500.0,3044327.44,80.4267466054244
